date ;vacance
01/01/16;1
02/01/16;1
03/01/16;1
04/01/16;1
05/01/16;0
06/01/16;0
07/01/16;0
08/01/16;0
09/01/16;0
10/01/16;0
11/01/16;0
12/01/16;0
13/01/16;0
14/01/16;0
15/01/16;0
16/01/16;0
17/01/16;0
18/01/16;0
19/01/16;0
20/01/16;0
21/01/16;0
22/01/16;0
23/01/16;0
24/01/16;0
25/01/16;0
26/01/16;0
27/01/16;0
28/01/16;0
29/01/16;0
30/01/16;0
31/01/16;0
01/02/16;0
02/02/16;0
03/02/16;0
04/02/16;0
05/02/16;0
06/02/16;0
07/02/16;0
08/02/16;0
09/02/16;0
10/02/16;0
11/02/16;0
12/02/16;0
13/02/16;0
14/02/16;0
15/02/16;0
16/02/16;0
17/02/16;0
18/02/16;0
19/02/16;0
20/02/16;1
21/02/16;1
22/02/16;1
23/02/16;1
24/02/16;1
25/02/16;1
26/02/16;1
27/02/16;1
28/02/16;1
29/02/16;1
01/03/16;1
02/03/16;1
03/03/16;1
04/03/16;1
05/03/16;1
06/03/16;1
07/03/16;1
08/03/16;0
09/03/16;0
10/03/16;0
11/03/16;0
12/03/16;0
13/03/16;0
14/03/16;0
15/03/16;0
16/03/16;0
17/03/16;0
18/03/16;0
19/03/16;0
20/03/16;0
21/03/16;0
22/03/16;0
23/03/16;0
24/03/16;0
25/03/16;0
26/03/16;0
27/03/16;0
28/03/16;0
29/03/16;0
30/03/16;0
31/03/16;0
01/04/16;0
02/04/16;0
03/04/16;0
04/04/16;0
05/04/16;0
06/04/16;0
07/04/16;0
08/04/16;0
09/04/16;0
10/04/16;0
11/04/16;0
12/04/16;0
13/04/16;0
14/04/16;0
15/04/16;0
16/04/16;1
17/04/16;1
18/04/16;1
19/04/16;1
20/04/16;1
21/04/16;1
22/04/16;1
23/04/16;1
24/04/16;1
25/04/16;1
26/04/16;1
27/04/16;1
28/04/16;1
29/04/16;1
30/04/16;1
01/05/16;1
02/05/16;1
03/05/16;0
04/05/16;1
05/05/16;1
06/05/16;1
07/05/16;1
08/05/16;1
09/05/16;1
10/05/16;0
11/05/16;0
12/05/16;0
13/05/16;0
14/05/16;0
15/05/16;0
16/05/16;0
17/05/16;0
18/05/16;0
19/05/16;0
20/05/16;0
21/05/16;0
22/05/16;0
23/05/16;0
24/05/16;0
25/05/16;0
26/05/16;0
27/05/16;0
28/05/16;0
29/05/16;0
30/05/16;0
31/05/16;0
01/06/16;0
02/06/16;0
03/06/16;0
04/06/16;0
05/06/16;0
06/06/16;0
07/06/16;0
08/06/16;0
09/06/16;0
10/06/16;0
11/06/16;0
12/06/16;0
13/06/16;0
14/06/16;0
15/06/16;0
16/06/16;0
17/06/16;0
18/06/16;0
19/06/16;0
20/06/16;0
21/06/16;0
22/06/16;0
23/06/16;0
24/06/16;0
25/06/16;0
26/06/16;0
27/06/16;0
28/06/16;0
29/06/16;0
30/06/16;0
01/07/16;0
02/07/16;0
03/07/16;0
04/07/16;0
05/07/16;1
06/07/16;1
07/07/16;1
08/07/16;1
09/07/16;1
10/07/16;1
11/07/16;1
12/07/16;1
13/07/16;1
14/07/16;1
15/07/16;1
16/07/16;1
17/07/16;1
18/07/16;1
19/07/16;1
20/07/16;1
21/07/16;1
22/07/16;1
23/07/16;1
24/07/16;1
25/07/16;1
26/07/16;1
27/07/16;1
28/07/16;1
29/07/16;1
30/07/16;1
31/07/16;1
01/08/16;1
02/08/16;1
03/08/16;1
04/08/16;1
05/08/16;1
