"tmp1.hourly.time"	"ciel"	"precipitation"	"temperature"	"date"	"jour"	"mday"	"mois"	"heure"	"time"
"1"	2017-02-01 00:00:00	"Couvert"	0	10.4	2017-02-01	"mercredi"	1	"02"	0	"00:00"
"2"	2017-02-01 01:00:00	"Couvert"	0	10.2	2017-02-01	"mercredi"	1	"02"	1	"00:00"
"3"	2017-02-01 02:00:00	"Nuageux"	0	10.04	2017-02-01	"mercredi"	1	"02"	2	"00:00"
"4"	2017-02-01 03:00:00	"Nuageux"	0	9.84	2017-02-01	"mercredi"	1	"02"	3	"00:00"
"5"	2017-02-01 04:00:00	"Couvert"	0	9.5	2017-02-01	"mercredi"	1	"02"	4	"00:00"
"6"	2017-02-01 05:00:00	"Couvert"	0	9.43	2017-02-01	"mercredi"	1	"02"	5	"00:00"
"7"	2017-02-01 06:00:00	"Couvert"	0	9.06	2017-02-01	"mercredi"	1	"02"	6	"00:00"
"8"	2017-02-01 07:00:00	"Couvert"	0	8.99	2017-02-01	"mercredi"	1	"02"	7	"00:00"
"9"	2017-02-01 08:00:00	"Couvert"	0	8.68	2017-02-01	"mercredi"	1	"02"	8	"00:00"
"10"	2017-02-01 09:00:00	"Nuageux"	0	8.72	2017-02-01	"mercredi"	1	"02"	9	"00:00"
"11"	2017-02-01 10:00:00	"Nuageux"	0	9.69	2017-02-01	"mercredi"	1	"02"	10	"00:00"
"12"	2017-02-01 11:00:00	"Nuageux"	0	11.32	2017-02-01	"mercredi"	1	"02"	11	"00:00"
"13"	2017-02-01 12:00:00	"Nuageux"	0	11.42	2017-02-01	"mercredi"	1	"02"	12	"00:00"
"14"	2017-02-01 13:00:00	"Couvert"	0	11.46	2017-02-01	"mercredi"	1	"02"	13	"00:00"
"15"	2017-02-01 14:00:00	"Nuageux"	0.0305	11.7	2017-02-01	"mercredi"	1	"02"	14	"00:00"
"16"	2017-02-01 15:00:00	"Nuageux"	0.0457	11.78	2017-02-01	"mercredi"	1	"02"	15	"00:00"
"17"	2017-02-01 16:00:00	"Couvert"	0	11.97	2017-02-01	"mercredi"	1	"02"	16	"00:00"
"18"	2017-02-01 17:00:00	"Couvert"	0	11.66	2017-02-01	"mercredi"	1	"02"	17	"00:00"
"19"	2017-02-01 18:00:00	"Couvert"	0	11.16	2017-02-01	"mercredi"	1	"02"	18	"00:00"
"20"	2017-02-01 19:00:00	"Couvert"	0	10.53	2017-02-01	"mercredi"	1	"02"	19	"00:00"
"21"	2017-02-01 20:00:00	"Nuageux"	0	9.81	2017-02-01	"mercredi"	1	"02"	20	"00:00"
"22"	2017-02-01 21:00:00	"Nuageux"	0	9.48	2017-02-01	"mercredi"	1	"02"	21	"00:00"
"23"	2017-02-01 22:00:00	"Nuageux"	0	9.41	2017-02-01	"mercredi"	1	"02"	22	"00:00"
"24"	2017-02-01 23:00:00	"Nuages Épars"	0	8.57	2017-02-01	"mercredi"	1	"02"	23	"00:00"
"25"	2017-02-02 00:00:00	"Nuages Épars"	0	8.13	2017-02-02	"jeudi"	2	"02"	0	"00:00"
"26"	2017-02-02 01:00:00	"Nuages Épars"	0	8.01	2017-02-02	"jeudi"	2	"02"	1	"00:00"
"27"	2017-02-02 02:00:00	"Nuages Épars"	0	7.68	2017-02-02	"jeudi"	2	"02"	2	"00:00"
"28"	2017-02-02 03:00:00	"Nuageux"	0.0305	7.92	2017-02-02	"jeudi"	2	"02"	3	"00:00"
"29"	2017-02-02 04:00:00	"Nuageux"	0	7.66	2017-02-02	"jeudi"	2	"02"	4	"00:00"
"30"	2017-02-02 05:00:00	"Nuageux"	0	7.53	2017-02-02	"jeudi"	2	"02"	5	"00:00"
"31"	2017-02-02 06:00:00	"Nuageux"	0	7.68	2017-02-02	"jeudi"	2	"02"	6	"00:00"
"32"	2017-02-02 07:00:00	"Nuageux"	0	8.11	2017-02-02	"jeudi"	2	"02"	7	"00:00"
"33"	2017-02-02 08:00:00	"Nuageux"	0	8.35	2017-02-02	"jeudi"	2	"02"	8	"00:00"
"34"	2017-02-02 09:00:00	"Nuageux"	0	8.69	2017-02-02	"jeudi"	2	"02"	9	"00:00"
"35"	2017-02-02 10:00:00	"Nuageux"	0	9.78	2017-02-02	"jeudi"	2	"02"	10	"00:00"
"36"	2017-02-02 11:00:00	"Nuageux"	0	11.55	2017-02-02	"jeudi"	2	"02"	11	"00:00"
"37"	2017-02-02 12:00:00	"Nuageux"	0	11.93	2017-02-02	"jeudi"	2	"02"	12	"00:00"
"38"	2017-02-02 13:00:00	"Nuageux"	0	12.27	2017-02-02	"jeudi"	2	"02"	13	"00:00"
"39"	2017-02-02 14:00:00	"Nuageux"	0	11.89	2017-02-02	"jeudi"	2	"02"	14	"00:00"
"40"	2017-02-02 15:00:00	"Couvert"	0.1118	11.64	2017-02-02	"jeudi"	2	"02"	15	"00:00"
"41"	2017-02-02 16:00:00	"Nuageux"	0	11.57	2017-02-02	"jeudi"	2	"02"	16	"00:00"
"42"	2017-02-02 17:00:00	"Nuageux"	0.0229	11.62	2017-02-02	"jeudi"	2	"02"	17	"00:00"
"43"	2017-02-02 18:00:00	"Nuageux"	0.0254	11.93	2017-02-02	"jeudi"	2	"02"	18	"00:00"
"44"	2017-02-02 19:00:00	"Couvert"	0	11.83	2017-02-02	"jeudi"	2	"02"	19	"00:00"
"45"	2017-02-02 20:00:00	"Nuageux"	0.0737	11.31	2017-02-02	"jeudi"	2	"02"	20	"00:00"
"46"	2017-02-02 21:00:00	"Nuageux"	0.0686	10.99	2017-02-02	"jeudi"	2	"02"	21	"00:00"
"47"	2017-02-02 22:00:00	"Nuageux"	0	10.08	2017-02-02	"jeudi"	2	"02"	22	"00:00"
"48"	2017-02-02 23:00:00	"Nuageux"	0	9.64	2017-02-02	"jeudi"	2	"02"	23	"00:00"
"49"	2017-02-03 00:00:00	"Nuageux"	0	9.44	2017-02-03	"vendredi"	3	"02"	0	"00:00"
"50"	2017-02-03 01:00:00	"Nuageux"	0	9.26	2017-02-03	"vendredi"	3	"02"	1	"00:00"
"51"	2017-02-03 02:00:00	"Couvert"	0	9.24	2017-02-03	"vendredi"	3	"02"	2	"00:00"
"52"	2017-02-03 03:00:00	"Nuageux"	0.0406	9.01	2017-02-03	"vendredi"	3	"02"	3	"00:00"
"53"	2017-02-03 04:00:00	"Nuageux"	0	8.73	2017-02-03	"vendredi"	3	"02"	4	"00:00"
"54"	2017-02-03 05:00:00	"Nuageux"	0	8.66	2017-02-03	"vendredi"	3	"02"	5	"00:00"
"55"	2017-02-03 06:00:00	"Nuageux"	0	8.27	2017-02-03	"vendredi"	3	"02"	6	"00:00"
"56"	2017-02-03 07:00:00	"Nuageux"	0	7.7	2017-02-03	"vendredi"	3	"02"	7	"00:00"
"57"	2017-02-03 08:00:00	"Nuageux"	0	7.25	2017-02-03	"vendredi"	3	"02"	8	"00:00"
"58"	2017-02-03 09:00:00	"Nuageux"	0	7.08	2017-02-03	"vendredi"	3	"02"	9	"00:00"
"59"	2017-02-03 10:00:00	"Nuageux"	0	7.84	2017-02-03	"vendredi"	3	"02"	10	"00:00"
"60"	2017-02-03 11:00:00	"Nuageux"	0	9.08	2017-02-03	"vendredi"	3	"02"	11	"00:00"
"61"	2017-02-03 12:00:00	"Nuages Épars"	0	10.55	2017-02-03	"vendredi"	3	"02"	12	"00:00"
"62"	2017-02-03 13:00:00	"Nuages Épars"	0	10.97	2017-02-03	"vendredi"	3	"02"	13	"00:00"
"63"	2017-02-03 14:00:00	"Nuageux"	0	10	2017-02-03	"vendredi"	3	"02"	14	"00:00"
"64"	2017-02-03 15:00:00	"Pluie Faible"	0.3988	8.42	2017-02-03	"vendredi"	3	"02"	15	"00:00"
"65"	2017-02-03 16:00:00	"Couvert"	0	8.16	2017-02-03	"vendredi"	3	"02"	16	"00:00"
"66"	2017-02-03 17:00:00	"Couvert"	0.0838	7.98	2017-02-03	"vendredi"	3	"02"	17	"00:00"
"67"	2017-02-03 18:00:00	"Couvert"	0.0254	7.91	2017-02-03	"vendredi"	3	"02"	18	"00:00"
"68"	2017-02-03 19:00:00	"Couvert"	0	7.57	2017-02-03	"vendredi"	3	"02"	19	"00:00"
"69"	2017-02-03 20:00:00	"Pluie Faible"	0.3099	7.49	2017-02-03	"vendredi"	3	"02"	20	"00:00"
"70"	2017-02-03 21:00:00	"Bruine"	0.1575	7.22	2017-02-03	"vendredi"	3	"02"	21	"00:00"
"71"	2017-02-03 22:00:00	"Nuageux"	0	6.77	2017-02-03	"vendredi"	3	"02"	22	"00:00"
"72"	2017-02-03 23:00:00	"Nuages Épars"	0	6.53	2017-02-03	"vendredi"	3	"02"	23	"00:00"
"73"	2017-02-04 00:00:00	"Nuages Épars"	0	6.34	2017-02-04	"samedi"	4	"02"	0	"00:00"
"74"	2017-02-04 01:00:00	"Nuages Épars"	0	6.05	2017-02-04	"samedi"	4	"02"	1	"00:00"
"75"	2017-02-04 02:00:00	"Nuageux"	0	5.66	2017-02-04	"samedi"	4	"02"	2	"00:00"
"76"	2017-02-04 03:00:00	"Nuageux"	0	5.49	2017-02-04	"samedi"	4	"02"	3	"00:00"
"77"	2017-02-04 04:00:00	"Couvert"	0	5.51	2017-02-04	"samedi"	4	"02"	4	"00:00"
"78"	2017-02-04 05:00:00	"Bruine"	0.1524	5.79	2017-02-04	"samedi"	4	"02"	5	"00:00"
"79"	2017-02-04 06:00:00	"Pluie Faible"	0.8636	5.79	2017-02-04	"samedi"	4	"02"	6	"00:00"
"80"	2017-02-04 07:00:00	"Couvert"	0	5.45	2017-02-04	"samedi"	4	"02"	7	"00:00"
"81"	2017-02-04 08:00:00	"Pluie"	2.6619	5.56	2017-02-04	"samedi"	4	"02"	8	"00:00"
"82"	2017-02-04 09:00:00	"Pluie"	1.8948	5.84	2017-02-04	"samedi"	4	"02"	9	"00:00"
"83"	2017-02-04 10:00:00	"Couvert"	0	6.42	2017-02-04	"samedi"	4	"02"	10	"00:00"
"84"	2017-02-04 11:00:00	"Pluie Faible"	0.6325	6.69	2017-02-04	"samedi"	4	"02"	11	"00:00"
"85"	2017-02-04 12:00:00	"Pluie Faible"	0.2845	7.01	2017-02-04	"samedi"	4	"02"	12	"00:00"
"86"	2017-02-04 13:00:00	"Couvert"	0	6.73	2017-02-04	"samedi"	4	"02"	13	"00:00"
"87"	2017-02-04 14:00:00	"Pluie Faible"	0.3048	5.67	2017-02-04	"samedi"	4	"02"	14	"00:00"
