"";"tmp1.hourly.time";"ciel";"precipitation";"temperature";"date";"jour";"mday";"mois";"heure";"time"
"1";2017-01-01 00:00:00;"Couvert";0;-1,73;2017-01-01;"dimanche";1;"01";0;"00:00"
"2";2017-01-01 01:00:00;"Couvert";0;-1,24;2017-01-01;"dimanche";1;"01";1;"00:00"
"3";2017-01-01 02:00:00;"Couvert";0;-0,96;2017-01-01;"dimanche";1;"01";2;"00:00"
"4";2017-01-01 03:00:00;"Couvert";0;-0,79;2017-01-01;"dimanche";1;"01";3;"00:00"
"5";2017-01-01 04:00:00;"Couvert";0;-0,77;2017-01-01;"dimanche";1;"01";4;"00:00"
"6";2017-01-01 05:00:00;"Brumeux";0;-0,67;2017-01-01;"dimanche";1;"01";5;"00:00"
"7";2017-01-01 06:00:00;"Brumeux";0;-0,64;2017-01-01;"dimanche";1;"01";6;"00:00"
"8";2017-01-01 07:00:00;"Couvert";0;-0,64;2017-01-01;"dimanche";1;"01";7;"00:00"
"9";2017-01-01 08:00:00;"Couvert";0;-0,64;2017-01-01;"dimanche";1;"01";8;"00:00"
"10";2017-01-01 09:00:00;"Couvert";0;-0,64;2017-01-01;"dimanche";1;"01";9;"00:00"
"11";2017-01-01 10:00:00;"Couvert";0;-0,26;2017-01-01;"dimanche";1;"01";10;"00:00"
"12";2017-01-01 11:00:00;"Averses De Neige";0,0787;0,08;2017-01-01;"dimanche";1;"01";11;"00:00"
"13";2017-01-01 12:00:00;"Couvert";0;0,26;2017-01-01;"dimanche";1;"01";12;"00:00"
"14";2017-01-01 13:00:00;"Couvert";0;0,33;2017-01-01;"dimanche";1;"01";13;"00:00"
"15";2017-01-01 14:00:00;"Couvert";0;0,3;2017-01-01;"dimanche";1;"01";14;"00:00"
"16";2017-01-01 15:00:00;"Couvert";0;0,63;2017-01-01;"dimanche";1;"01";15;"00:00"
"17";2017-01-01 16:00:00;"Couvert";0;0,87;2017-01-01;"dimanche";1;"01";16;"00:00"
"18";2017-01-01 17:00:00;"Couvert";0;0,88;2017-01-01;"dimanche";1;"01";17;"00:00"
"19";2017-01-01 18:00:00;"Couvert";0;1,03;2017-01-01;"dimanche";1;"01";18;"00:00"
"20";2017-01-01 19:00:00;"Brumeux";0;1,13;2017-01-01;"dimanche";1;"01";19;"00:00"
"21";2017-01-01 20:00:00;"Brumeux";0,0203;1,1;2017-01-01;"dimanche";1;"01";20;"00:00"
"22";2017-01-01 21:00:00;"Brumeux";0;1,14;2017-01-01;"dimanche";1;"01";21;"00:00"
"23";2017-01-01 22:00:00;"Pluie Faible";0,4597;1,26;2017-01-01;"dimanche";1;"01";22;"00:00"
"24";2017-01-01 23:00:00;"Pluie Faible";0,6833;1,33;2017-01-01;"dimanche";1;"01";23;"00:00"
"25";2017-01-02 00:00:00;"Averses De Neige";0,0787;0,08;2017-01-02;"lundi";2;"01";0;"00:00"
"26";2017-01-02 01:00:00;"Couvert";0;0,26;2017-01-02;"lundi";2;"01";1;"00:00"
"27";2017-01-02 02:00:00;"Couvert";0;0,33;2017-01-02;"lundi";2;"01";2;"00:00"
"28";2017-01-02 03:00:00;"Couvert";0;0,3;2017-01-02;"lundi";2;"01";3;"00:00"
"29";2017-01-02 04:00:00;"Couvert";0;0,63;2017-01-02;"lundi";2;"01";4;"00:00"
"30";2017-01-02 05:00:00;"Couvert";0;0,87;2017-01-02;"lundi";2;"01";5;"00:00"
"31";2017-01-02 06:00:00;"Couvert";0;0,88;2017-01-02;"lundi";2;"01";6;"00:00"
"32";2017-01-02 07:00:00;"Couvert";0;1,03;2017-01-02;"lundi";2;"01";7;"00:00"
"33";2017-01-02 08:00:00;"Brumeux";0;1,13;2017-01-02;"lundi";2;"01";8;"00:00"
"34";2017-01-02 09:00:00;"Brumeux";0,0203;1,1;2017-01-02;"lundi";2;"01";9;"00:00"
"35";2017-01-02 10:00:00;"Brumeux";0;1,14;2017-01-02;"lundi";2;"01";10;"00:00"
"36";2017-01-02 11:00:00;"Pluie Faible";0,4597;1,26;2017-01-02;"lundi";2;"01";11;"00:00"
"37";2017-01-02 12:00:00;"Pluie Faible";0,6833;1,33;2017-01-02;"lundi";2;"01";12;"00:00"
"38";2017-01-02 13:00:00;"Couvert";0;1,83;2017-01-02;"lundi";2;"01";13;"00:00"
"39";2017-01-02 14:00:00;"Couvert";0,0229;2,05;2017-01-02;"lundi";2;"01";14;"00:00"
"40";2017-01-02 15:00:00;"Couvert";0;2,28;2017-01-02;"lundi";2;"01";15;"00:00"
"41";2017-01-02 16:00:00;"Nuageux";0;1,91;2017-01-02;"lundi";2;"01";16;"00:00"
"42";2017-01-02 17:00:00;"Nuageux";0;1,84;2017-01-02;"lundi";2;"01";17;"00:00"
"43";2017-01-02 18:00:00;"Nuageux";0;1,51;2017-01-02;"lundi";2;"01";18;"00:00"
"44";2017-01-02 19:00:00;"Nuageux";0;1;2017-01-02;"lundi";2;"01";19;"00:00"
"45";2017-01-02 20:00:00;"Nuageux";0;0,87;2017-01-02;"lundi";2;"01";20;"00:00"
"46";2017-01-02 21:00:00;"Couvert";0;0,87;2017-01-02;"lundi";2;"01";21;"00:00"
"47";2017-01-02 22:00:00;"Brumeux";0;0,57;2017-01-02;"lundi";2;"01";22;"00:00"
"48";2017-01-02 23:00:00;"Brumeux";0;0,46;2017-01-02;"lundi";2;"01";23;"00:00"
"49";2017-01-03 00:00:00;"Brumeux";0;0,47;2017-01-03;"mardi";3;"01";0;"00:00"
"50";2017-01-03 01:00:00;"Brumeux";0;0,18;2017-01-03;"mardi";3;"01";1;"00:00"
"51";2017-01-03 02:00:00;"Brumeux";0;0,17;2017-01-03;"mardi";3;"01";2;"00:00"
"52";2017-01-03 03:00:00;"Brumeux";0;-0,08;2017-01-03;"mardi";3;"01";3;"00:00"
"53";2017-01-03 04:00:00;"Brumeux";0;-0,24;2017-01-03;"mardi";3;"01";4;"00:00"
